periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
119,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999200000000007,0.00030748244591432357,0.9999200000000007,0.00030748244591432357,54.059999999999924,0.23868325657594197,0.022989999999999993,0.00422951390573289
120,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999500000000008,0.00021904291355759038,0.9999500000000008,0.00021904291355759038,54.089999999999925,0.28762349126466125,0.022479999999999997,0.004928744794826089
121,1000.0,0.6,0.2,0.0,0.6,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,59.49,2.02257461687031,0.02283000000000001,0.004936065991733447
122,1000.0,0.6,0.2,0.0,0.6,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.819999999999986,1.1492641475344483,0.023960000000000006,0.0044128371047582665
123,1000.0,0.6,0.2,0.0,0.6,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.910000000000025,0.8052228501376749,0.022400000000000003,0.005085133809309825
124,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999800000000006,0.0001407052941362899,0.9999800000000006,0.0001407052941362899,56.40000000000005,0.6195469181897237,0.023180000000000003,0.004934684499652548
125,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999900000000007,0.00010000000000000025,0.9999900000000007,0.00010000000000000025,56.02000000000004,0.6026875834396486,0.02239,0.0047924498701160945
126,1000.0,0.6,0.2,0.0,0.6,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.70000000000002,0.5025189076296057,0.022459999999999983,0.004234108733567997
127,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999800000000008,0.0001407052941362899,0.9999800000000008,0.0001407052941362899,55.31999999999995,0.4688261722621508,0.02214,0.004905202350669144
128,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999900000000007,0.00010000000000000022,0.9999900000000007,0.00010000000000000022,55.19999999999997,0.44946657497549486,0.022510000000000002,0.0042271250109957555
129,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999600000000008,0.00019694638556693283,0.9999600000000008,0.00019694638556693283,55.019999999999904,0.4015122927285302,0.022489999999999993,0.0050080642039322006
130,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999600000000007,0.00019694638556693229,0.9999600000000007,0.00019694638556693229,54.939999999999934,0.3974667256259292,0.023520000000000003,0.005127623743267954
131,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999800000000008,0.0001407052941362898,0.9999800000000008,0.0001407052941362898,54.75999999999992,0.4292346959909277,0.022439999999999998,0.004363114446902314
132,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999800000000008,0.0001407052941362898,0.9999800000000008,0.0001407052941362898,54.55999999999993,0.49888765156985876,0.023039999999999998,0.004435668102456663
133,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999900000000007,0.00010000000000000028,0.9999900000000007,0.00010000000000000028,54.44999999999993,0.5198095999517716,0.02224000000000001,0.004923905816001001
134,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999500000000008,0.0002190429135575904,0.9999500000000008,0.0002190429135575904,54.26999999999992,0.44619604333847357,0.022609999999999998,0.004435611171489955
135,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999800000000008,0.00014070529413628963,0.9999800000000008,0.00014070529413628963,54.179999999999936,0.38612291966536866,0.02284,0.004126093365963315
136,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999400000000009,0.00023868325657594235,0.9999400000000009,0.00023868325657594235,54.129999999999924,0.3379976689896309,0.02306999999999999,0.004290593422732095
137,1000.0,0.6,0.2,0.0,0.6,0.0,0.999890000000001,0.0003450955072018605,0.999890000000001,0.0003450955072018605,54.079999999999934,0.27265992434429076,0.02387,0.0046875183501324325
138,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999600000000008,0.00019694638556693277,0.9999600000000008,0.00019694638556693277,54.05999999999993,0.27779797906341414,0.02261999999999999,0.004268228880669097
139,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999300000000008,0.000256432399976243,0.9999300000000008,0.000256432399976243,54.039999999999935,0.19694638556693253,0.022800000000000004,0.004677476657214646
140,1000.0,0.6,0.2,0.0,0.6,0.0,0.9999600000000007,0.00019694638556693226,0.9999600000000007,0.00019694638556693226,54.02999999999993,0.1714466079977652,0.023010000000000003,0.004393509905864478
141,1000.0,0.6,0.2,0.0,0.7,0.0,0.9908900000000007,0.0910999999999999,0.9908900000000007,0.0910999999999999,59.25000000000001,2.016973430212163,0.02272,0.004114718591946368
142,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.91,1.3933101346481114,0.022890000000000004,0.005122528968224877
143,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,57.16000000000002,0.8844332774281065,0.022160000000000003,0.004368667133720825
144,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.36000000000004,0.6116710015534618,0.023620000000000006,0.004640141063686437
145,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.05000000000005,0.575159178669767,0.02241,0.005015319964213085
146,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999800000000008,0.00014070529413628963,0.9999800000000008,0.00014070529413628963,55.72000000000001,0.6043612539305653,0.023010000000000003,0.004391210228709994
147,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.389999999999986,0.4902071300001978,0.02353,0.005273250583574778
148,1000.0,0.6,0.2,0.0,0.7,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,55.08999999999993,0.32082595426382376,0.02277000000000001,0.0045501803716052214
149,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999800000000006,0.00014070529413628995,0.9999800000000006,0.00014070529413628995,54.98999999999992,0.333181783730895,0.022170000000000002,0.004568347401391227
150,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999800000000006,0.0001407052941362899,0.9999800000000006,0.0001407052941362899,54.939999999999934,0.34289321599553035,0.022579999999999992,0.0047485883069698625
151,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999500000000008,0.00021904291355759038,0.9999500000000008,0.00021904291355759038,54.729999999999926,0.46828722947879864,0.023129999999999998,0.004536396024256359
152,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999700000000008,0.00017144660799776562,0.9999700000000008,0.00017144660799776562,54.73999999999992,0.46319051646752746,0.022309999999999997,0.004785700501800055
153,1000.0,0.6,0.2,0.0,0.7,0.0,0.9999700000000008,0.00017144660799776572,0.9999700000000008,0.00017144660799776572,54.46999999999992,0.501613558046592,0.02288,0.004938572156959433
